detectorid,milepost,detectorclass,lanenumber,stationid
1345,14.32,1,1,1045
1346,14.32,1,2,1045
1347,14.32,1,3,1045
1348,14.32,1,4,1045
1353,16.2,1,1,1046
1354,16.2,1,2,1046
1355,16.2,1,3,1046
1361,18.1,1,1,1047
1362,18.1,1,2,1047
1363,18.1,1,3,1047
1809,19.4,1,1,1117
1810,19.4,1,2,1117
1811,19.4,1,3,1117
1369,19.78,1,1,1048
1370,19.78,1,2,1048
1371,19.78,1,3,1048
1949,21.12,1,1,1142
1950,21.12,1,2,1142
1951,21.12,1,3,1142
1941,23.41,1,1,1140
1942,23.41,1,2,1140
1943,23.41,1,3,1140
1856,14.58,1,1,1125
1857,14.58,1,2,1125
1858,14.58,1,3,1125
1730,16.24,1,1,1098
1731,16.24,1,2,1098
1732,16.24,1,3,1098
1417,17.5,1,1,1054
1418,17.5,1,2,1054
1419,17.5,1,3,1054
1409,18.92,1,1,1053
1410,18.92,1,2,1053
1411,18.92,1,3,1053
1401,19.25,1,1,1052
1402,19.25,1,2,1052
1403,19.25,1,3,1052
1393,20.34,1,1,1051
1394,20.34,1,2,1051
1395,20.34,1,3,1051
1953,21.12,1,1,1143
1954,21.12,1,2,1143
1955,21.12,1,3,1143
1945,23.41,1,1,1141
1946,23.41,1,2,1141
1947,23.41,1,3,1141
1385,24.66,1,1,1050
1386,24.66,1,2,1050
1387,24.66,1,3,1050
1377,24.77,1,1,1049
1378,24.77,1,2,1049
1379,24.77,1,3,1049